Sample,Location,Borehole,Depth,Initial void ratio (e),Initial degree of saturation (Sr) %,Field resistivity  (ρ),Lab. Resistivity  (ρa)
186,,,3.0,2.47,102.45,50.81,2.27
187,CAMERON - 1,BH 34,0.5,1.38,43.50,176.40,324.77
188,,,1.0,1.26,52.33,196.60,383.57
189,,,1.5,1.01,56.64,213.60,545.16
190,,,2.0,1.05,56.66,211.60,738.17
191,,,2.5,1.07,55.46,212.20,946.18
192,,,3.0,1.22,50.29,214.69,994.62
193,CAMERON - 2,BH 35,0.5,1.15,46.50,200.30,394.49
194,,,1.0,1.13,48.91,192.10,636.01
195,,,1.5,1.12,52.65,214.90,433.60
196,,,2.0,1.14,57.92,208.40,623.03
197,,,2.5,1.11,63.47,204.90,386.09
198,,,3.0,1.14,61.80,188.30,717.29
199,PULAU INDAH - 1,BH 36,0.5,1.00,8.86,,2493.18
200,,,1.0,0.92,18.12,,4452.10
201,,,1.5,0.71,11.85,,4361.24
202,,,2.0,0.89,38.38,,138.51
203,,,2.5,0.71,4.77,,4361.24
204,,,3.0,1.92,85.16,,12.33
205,PEKAN - 1,BH 37,1.0,2.16,70.38,0.94,24.24
206,,,1.5,3.83,88.08,3.11,23.87
207,,,2.0,2.81,88.67,97.40,31.90
208,,,2.5,1.88,88.40,71.48,32.95
209,,,3.0,1.60,86.71,38.65,39.59
210,PEKAN - 2,BH 38,1.0,2.16,85.86,4.40,36.65
211,,,1.5,2.90,89.59,30.16,17.48
212,,,2.0,2.10,87.40,6.91,20.37
213,,,2.5,1.73,92.07,86.41,28.09
214,,,3.0,1.45,85.58,103.69,35.07
215,DAMANSARA -1,BH 39,1.0,1.25,34.96,,1593.44
216,,,2.0,1.27,32.22,,707.13
217,,,3.0,1.02,47.83,,1134.28
218,DAMANSARA -2,BH 40,1.0,1.12,44.67,,14458.79
219,,,2.0,1.11,39.17,,7876.51
220,,,3.0,0.96,59.17,,3670.76
221,MARANG - 1,BH 41,1.0,0.93,38.92,,10087.35
222,,,2.0,1.05,38.75,,481.28
223,,,3.0,1.00,38.80,,1492.06
223,MUAR - 1,BH 42,1.0,2,69.43,,
224,,,2.0,3,75.35,,
