Sample,Location,Borehole,Depth,Liquid Limit,Plastic Limit,Plasticity Index,PI = 0.9 (LL-8),PI = 0.73 (LL-20),Field resistivity  (ρ),Lab. Resistivity  (ρa),Moisture content (%)
182,,,1.0,55.00,32.47,22.53,42.30,25.55,6.41,0.81,69.99
184,,,2.0,49.00,35.00,14,36.90,21.17,38.96,1.23,91.86
185,,,2.5,41.00,26.57,14.43,29.70,15.33,9.43,1.32,90.02
186,,,3.0,45.00,26.70,18.3,33.30,18.25,50.81,2.27,95.65
187,CAMERON - 1,BH 34,0.5,49.00,37.60,11.4,36.90,21.17,176.40,324.77,22.63
188,,,1.0,50.00,38.50,11.5,37.80,21.90,196.60,383.57,24.88
189,,,1.5,51.00,28.29,22.71,38.70,22.63,213.60,545.16,21.63
190,,,2.0,52.00,41.99,10.01,39.60,23.36,211.60,738.17,22.45
191,,,2.5,52.00,38.84,13.16,39.60,23.36,212.20,946.18,22.34
192,,,3.0,52.00,42.16,9.84,39.60,23.36,214.69,994.62,23.24
193,CAMERON - 2,BH 35,0.5,50.00,39.06,10.94,37.80,21.90,200.30,394.49,20.23
194,,,1.0,52.00,37.23,14.77,39.60,23.36,192.10,636.01,20.92
195,,,1.5,50.00,35.15,14.85,37.80,21.90,214.90,433.60,22.23
196,,,2.0,52.00,36.48,15.52,39.60,23.36,208.40,623.03,24.84
197,,,2.5,52.00,37.49,14.51,39.60,23.36,204.90,386.09,26.50
198,,,3.0,54.00,40.48,13.52,41.40,24.82,188.30,717.29,26.69
199,PULAU INDAH - 1,BH 36,0.5,30.00,23.44,6.56,19.80,7.30,,2493.18,3.36
200,,,1.0,32.00,20.04,11.96,21.60,8.76,,4452.10,6.32
201,,,1.5,31.00,28.29,2.71,20.70,8.03,,4361.24,3.16
202,,,2.0,28.00,19.73,8.27,18.00,5.84,,138.51,12.89
203,,,2.5,29.00,15.48,13.52,18.90,6.57,,4361.24,1.28
204,,,3.0,29.00,16.79,12.21,18.90,6.57,,12.33,61.63
205,PEKAN - 1,BH 37,1.0,67.00,41.20,25.8,53.10,34.31,0.94,24.24,57.34
206,,,1.5,62.00,28.29,33.71,48.60,30.66,3.11,23.87,127.30
207,,,2.0,54.00,35.90,18.1,41.40,24.82,97.40,31.90,93.90
208,,,2.5,53.00,28.57,24.43,40.50,24.09,71.48,32.95,62.87
209,,,3.0,38.00,29.26,8.74,27.00,13.14,38.65,39.59,52.22
210,PEKAN - 2,BH 38,1.0,53.00,32.47,20.53,40.50,24.09,4.40,36.65,69.97
211,,,1.5,57.00,37.99,19.01,44.10,27.01,30.16,17.48,98.03
212,,,2.0,54.00,30.53,23.47,41.40,24.82,6.91,20.37,69.10
213,,,2.5,46.00,31.57,14.43,34.20,18.98,86.41,28.09,60.04
214,,,3.0,37.00,27.12,9.88,26.10,12.41,103.69,35.07,46.77
215,DAMANSARA -1,BH 39,1.0,47.83,28.71,19.12,35.85,20.32,,1593.44,
216,,,2.0,53.82,31.20,22.62,41.24,24.69,,707.13,
217,,,3.0,46.91,25.86,21.05,35.02,19.64,,1134.28,
218,DAMANSARA -2,BH 40,1.0,58.56,35.71,22.85,45.50,28.15,,14458.79,
219,,,2.0,56.59,33.99,22.60,43.73,26.71,,7876.51,
220,,,3.0,60.18,39.68,20.50,46.96,29.33,,3670.76,
221,MARANG - 1,BH 41,1.0,39.56,29.23,10.33,28.40,14.28,,10087.35,
222,,,2.0,37.70,25.24,12.46,26.73,12.92,,481.28,
223,,,3.0,38.35,25.71,12.64,27.32,13.40,,1492.06,
223,MUAR - 1,BH 42,1.0,54.7,33.50,21.20,,,,,
224,,,2.0,63.5,40.20,23.30,,,,,
