Sample,Location,Borehole,Depth,Soil bulk density (kN/m3),Soil bulk density (g/cm3),Soil dry density (kN/m3),Field resistivity  (ρ),Lab. Resistivity  (ρa),Porosity (%),Moisture content (%),
154,,,1.0,16.87,1.72,12.93,,3957.42,51.22,30.50,
155,,,1.5,17.46,1.78,13.21,,4660.14,50.14,32.12,
156,,,2.0,19.04,1.94,15.40,,4335.96,41.88,23.61,
157,,,2.5,16.31,1.66,12.49,,777.09,52.86,30.59,
158,,,3.0,18.20,1.86,14.47,,2927.41,45.38,25.76,
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,14.67,1.50,10.78,,1910.48,59.34,36.11,
160,,,1.0,15.94,1.63,11.97,,228.94,54.83,33.18,
161,,,1.5,16.77,1.71,12.52,,6560.99,52.74,33.90,
162,,,2.0,16.46,1.68,12.40,,3196.38,53.19,32.69,
163,MELAKA - 1,BH 30,0.5,17.75,1.81,14.50,168.20,155.02,45.27,22.40,
164,,,1.0,15.41,1.57,8.85,108.08,15.18,66.61,74.11,
165,,,1.5,15.00,1.53,9.33,163.16,8.21,64.80,60.77,
166,,,2.0,13.16,1.34,6.90,607.85,4.40,73.96,90.68,
167,,,2.5,13.81,1.41,7.02,8.80,2.50,73.53,96.82,
168,,,3.0,13.30,1.36,6.64,766.81,2.02,74.96,100.43,
169,MELAKA - 2,BH 31,0.5,20.19,2.06,18.10,19.19,17.57,31.69,11.55,
170,,,1.0,20.31,2.07,16.34,13.06,15.94,38.34,24.31,
171,,,1.5,14.67,1.50,8.81,78.11,4.30,66.76,66.59,
172,,,2.0,15.13,1.54,8.82,24.41,4.61,66.74,71.61,
173,,,2.5,13.94,1.42,7.45,12.84,2.92,71.90,87.15,
174,,,3.0,13.87,1.41,7.23,21.02,1.86,72.71,91.72,
175,PERLIS - 1,BH 32,0.5,16.46,1.68,14.80,2.87,4.14,44.14,11.21,
176,,,1.0,15.11,1.54,8.81,23.03,0.89,66.75,71.52,
177,,,1.5,15.07,1.54,8.44,24.18,1.38,68.15,78.56,
178,,,2.0,13.88,1.42,6.42,3.46,0.45,75.76,116.17,
179,,,2.5,14.13,1.44,7.98,56.16,0.48,69.87,76.97,
180,,,3.0,14.02,1.43,7.53,30.16,0.44,71.59,86.30,
181,PERLIS - 2,BH 33,0.5,15.69,1.60,14.20,2.75,8.57,46.41,10.48,
182,,,1.0,15.79,1.61,9.29,6.41,0.81,64.95,69.99,
183,,,2.0,13.63,1.39,7.10,38.96,1.23,73.19,91.86,
184,,,2.5,15.06,1.54,7.92,9.43,1.32,70.10,90.02,
185,,,3.0,14.92,1.52,7.63,50.81,2.27,71.21,95.65,
186,CAMERON - 1,BH 34,0.5,13.66,1.39,11.14,176.40,324.77,57.96,22.63,
