Sample,Location,Borehole,Depth,1D inverted resistivity,2D inverted resistivity,Field resistivity  (ρ),Lab. Resistivity  (ρa),Moisture content (%)
134,,,3.0,605.10,420.00,562.73,3488.91,8.26
135,KOTA KUALA MUDA -1,BH 24,0.5,11.88,2.61,9.37,5.48,24.13
136,,,1.0,18.89,1.66,37.12,1.83,71.93
137,,,1.5,27.27,0.75,7.82,0.84,90.87
138,,,2.0,35.68,0.50,24.26,0.72,72.70
139,,,2.5,43.92,0.42,103.25,0.54,110.78
140,,,3.0,51.94,0.42,79.73,0.50,38.01
141,KOTA KUALA MUDA -2,BH 25,0.5,34.10,5.60,23.65,4.59,22.16
142,,,1.0,46.84,2.50,49.37,1.11,82.10
143,,,1.5,48.37,1.05,71.55,0.57,107.52
144,,,2.0,44.16,0.55,60.13,0.46,84.14
145,,,2.5,37.99,0.42,39.24,0.57,55.91
146,,,3.0,31.75,0.32,20.11,0.57,96.77
147,CYBERJAYA -1,,1.0,7.25,7.25,,206.44,24.15
148,,,2.5,14.60,14.60,,61.42,36.15
149,,,3.0,110.00,110.00,,273.39,490.06
150,CYBERJAYA -2,BH 27,0.5,130.00,130.00,,64.17,23.23
151,,,1.0,120.00,120.00,,249.24,221.91
152,,,3.0,14.00,14.00,,60.18,17.55
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,750.00,750.00,,1133.26,33.39
154,,,1.0,800.00,800.00,,3957.42,30.50
155,,,1.5,830.00,830.00,,4660.14,32.12
156,,,2.0,850.00,850.00,,4335.96,23.61
157,,,2.5,900.00,900.00,,777.09,30.59
158,,,3.0,920.00,920.00,,2927.41,25.76
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,818.00,818.00,,1910.48,36.11
160,,,1.0,1146.00,1146.00,,228.94,33.18
161,,,1.5,1600.00,1600.00,,6560.99,33.90
162,,,2.0,2200.00,2200.00,,3196.38,32.69
163,MELAKA - 1,BH 30,0.5,159.00,80.00,168.20,155.02,22.40
164,,,1.0,118.90,8.00,108.08,15.18,74.11
165,,,1.5,134.80,3.00,163.16,8.21,60.77
166,,,2.0,145.80,0.80,607.85,4.40,90.68
167,,,2.5,152.90,0.50,8.80,2.50,96.82
168,,,3.0,157.80,0.30,766.81,2.02,100.43
169,MELAKA - 2,BH 31,0.5,19.10,5.00,19.19,17.57,11.55
170,,,1.0,24.76,13.00,13.06,15.94,24.31
171,,,1.5,26.07,4.00,78.11,4.30,66.59
172,,,2.0,24.63,1.50,24.41,4.61,71.61
173,,,2.5,22.19,1.20,12.84,2.92,87.15
174,,,3.0,19.63,1.00,21.02,1.86,91.72
175,PERLIS - 1,BH 32,0.5,5.51,8.00,2.87,4.14,11.21
176,,,1.0,9.66,1.30,23.03,0.89,71.52
177,,,1.5,13.73,0.60,24.18,1.38,78.56
178,,,2.0,17.53,0.50,3.46,0.45,116.17
179,,,2.5,21.08,0.50,56.16,0.48,76.97
180,,,3.0,24.39,0.30,30.16,0.44,86.30
181,PERLIS - 2,BH 33,0.5,5.44,6.00,2.75,8.57,10.48
182,,,1.0,10.02,1.06,6.41,0.81,69.99
184,,,2.0,19.40,0.50,38.96,1.23,91.86
185,,,2.5,23.93,0.50,9.43,1.32,90.02
186,,,3.0,28.36,0.40,50.81,2.27,95.65
187,CAMERON - 1,BH 34,0.5,176.30,158.00,176.40,324.77,22.63
188,,,1.0,198.60,210.00,196.60,383.57,24.88
189,,,1.5,209.70,277.00,213.60,545.16,21.63
190,,,2.0,213.20,290.00,211.60,738.17,22.45
191,,,2.5,213.80,260.00,212.20,946.18,22.34
192,,,3.0,213.40,240.00,214.69,994.62,23.24
193,CAMERON - 2,BH 35,0.5,200.20,220.00,200.30,394.49,20.23
194,,,1.0,193.00,210.00,192.10,636.01,20.92
195,,,1.5,211.80,180.00,214.90,433.60,22.23
196,,,2.0,212.30,158.00,208.40,623.03,24.84
197,,,2.5,202.50,140.00,204.90,386.09,26.50
198,,,3.0,188.90,130.00,188.30,717.29,26.69
199,PULAU INDAH - 1,BH 36,0.5,3500.00,3500.00,,2493.18,3.36
200,,,1.0,944.00,944.00,,4452.10,6.32
201,,,1.5,26.00,26.00,,4361.24,3.16
202,,,2.0,65.80,65.80,,138.51,12.89
203,,,2.5,15.00,15.00,,4361.24,1.28
204,,,3.0,4.58,4.58,,12.33,61.63
205,PEKAN - 1,BH 37,1.0,8.02,18.00,0.94,24.24,57.34
206,,,1.5,11.80,18.00,3.11,23.87,127.30
207,,,2.0,15.63,22.20,97.40,31.90,93.90
208,,,2.5,19.44,27.70,71.48,32.95,62.87
209,,,3.0,23.22,25.00,38.65,39.59,52.22
210,PEKAN - 2,BH 38,1.0,20.69,22.20,4.40,36.65,69.97
211,,,1.5,30.42,22.00,30.16,17.48,98.03
212,,,2.0,40.28,19.00,6.91,20.37,69.10
213,,,2.5,50.09,20.00,86.41,28.09,60.04
214,,,3.0,59.80,30.00,103.69,35.07,46.77
215,DAMANSARA -1,BH 39,1.0,1726.00,,,1593.44,16.48
216,,,2.0,686.00,,,707.13,15.38
217,,,3.0,432.00,,,1134.28,18.39
218,DAMANSARA -2,BH 40,1.0,980.00,,,14458.79,18.95
219,,,2.0,750.00,,,7876.51,16.46
220,,,3.0,430.00,,,3670.76,21.40
221,MARANG - 1,BH 41,1.0,,,,10087.35,13.63
222,,,2.0,,,,481.28,15.34
223,,,3.0,,,,1492.06,14.57
223,MUAR - 1,BH 42,1.0,44.29,4.39,,,
224,,,2.0,35.94,3.05,,,
