Sample,Location,Borehole,Depth,Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (?a),Moisture content (%),Soil Classification,,,,,,,,,,,,
57,,,1.5,18.50,22.06,59.44,0.00,0.000,0.009,0.270,#DIV/0!,#DIV/0!,63.88,81.08,18.68,SC,,,,,,,,,,,,
58,,,2.0,18.50,22.06,59.44,0.00,0.000,0.007,0.230,#DIV/0!,#DIV/0!,67.17,29.39,20.09,SC,,,,,,,,,,,,
59,,,2.5,23.00,20.80,56.20,0.00,0.000,0.006,0.200,#DIV/0!,#DIV/0!,61.53,81.30,24.11,SM,,,,,,,,,,,,
60,,,3.0,25.00,18.80,56.20,0.00,0.000,0.004,0.330,#DIV/0!,#DIV/0!,54.46,137.87,22.43,SM,,,,,,,,,,,,
61,SELAYANG -2,BH 11,0.5,18.00,7.96,74.04,0.00,0.00,0.01,0.26,#DIV/0!,#DIV/0!,60.54,55.40,20.86,SC,,,,,,,,,,,,
62,,,1.0,22.00,20.18,57.82,0.00,0.00,0.01,0.23,#DIV/0!,#DIV/0!,45.18,139.15,26.59,SM,,,,,,,,,,,,
63,,,1.5,20.00,22.40,57.60,0.00,0.00,0.01,0.25,#DIV/0!,#DIV/0!,57.99,145.23,16.02,SC,,,,,,,,,,,,
64,,,2.0,20.00,28.00,52.00,0.00,0.00,0.01,0.19,#DIV/0!,#DIV/0!,75.66,121.13,23.96,SM,,,,,,,,,,,,
65,,,2.5,30.00,20.29,49.71,0.00,0.00,0.00,0.16,#DIV/0!,#DIV/0!,93.88,106.85,21.87,CL,,,,,,,,,,,,
66,,,3.0,28.00,15.80,56.20,0.00,0.00,0.00,0.36,#DIV/0!,#DIV/0!,112,70.40,17.55,SM,,,,,,,,,,,,
67,PARIT - 1,BH 12,0.5,12.00,28.00,60.00,0.00,0.001,0.016,0.070,70.00,3.66,137.1,151.32,26.14,SC,,,,,,,,,,,,
68,,,1.0,1.60,7.10,91.30,0.00,0.070,0.145,0.200,2.86,1.50,235.4,2459.24,10.51,SP-SM,,,,,,,,,,,,
69,,,1.5,8.88,11.12,80.00,0.00,0.007,0.057,0.110,15.71,4.22,314.1,524.70,11.20,SM,,,,,,,,,,,,
70,,,2.0,2.42,3.23,94.35,0.00,0.059,0.090,0.170,2.88,0.81,373.6,4166.87,23.37,SP-SM,,,,,,,,,,,,
71,,,2.5,18.00,32.00,50.00,0.00,0.000,0.007,0.055,#DIV/0!,#DIV/0!,418.5,219.72,27.09,CL,,,,,,,,,,,,
72,,,3.0,17.00,23.00,60.00,0.00,0.000,0.010,0.070,#DIV/0!,#DIV/0!,452.3,187.80,23.87,SC,,,,,,,,,,,,
73,PARIT - 2,BH 13,0.5,15.00,27.77,57.23,0.00,0.00,0.01,0.06,#DIV/0!,#DIV/0!,438.8,527.19,28.18,SM,,,,,,,,,,,,
74,,,1.0,14.00,18.28,67.72,0.00,0.00,0.02,0.08,#DIV/0!,#DIV/0!,300.1,610.20,20.58,SC,,,,,,,,,,,,
75,,,1.5,8.07,13.72,78.21,0.00,0.01,0.06,0.12,23.00,6.26,337.7,769.50,24.55,SC,,,,,,,,,,,,
76,,,2.0,8.88,11.12,80.00,0.00,0.01,0.06,0.11,22.00,6.55,355,360.16,13.50,SM,,,,,,,,,,,,
77,,,2.5,10.00,30.00,60.00,0.00,0.00,0.04,0.10,49.00,6.61,358.9,304.39,28.63,SC,,,,,,,,,,,,
78,,,3.0,23.00,24.62,52.38,0.00,0.00,0.00,0.06,#DIV/0!,#DIV/0!,356.7,224.63,29.97,SC,,,,,,,,,,,,
