Sample,Location,Borehole,Depth,Cohesion (kPa),Angle of friction (?),Field resistivity  (?),Lab. Resistivity  (?a)
124,,,1.0,36.07,19.14,144.11,448.49
125,,,1.5,55.29,20.89,241.81,453.49
126,,,2.0,53.21,21.14,223.63,4738.38
127,,,2.5,40.28,22.89,192.73,569.62
128,,,3.0,45.54,9.08,255.82,1328.42
129,SUNGKAI - 2,BH 23,0.5,25.09,19.89,391.81,489.55
130,,,1.0,35.17,21.87,423.54,803.87
131,,,1.5,25.41,24.84,549.16,853.31
132,,,2.0,18.07,19.19,587.05,493.31
133,,,2.5,43.23,32.13,606.41,93.64
134,,,3.0,24.29,30.06,562.73,3488.91
135,KOTA KUALA MUDA -1,BH 24,0.5,21.22,28.52,9.37,5.48
136,,,1.0,9.56,19.97,37.12,1.83
137,,,1.5,7.55,6.38,7.82,0.84
138,,,2.0,12.01,2.59,24.26,0.72
139,,,2.5,10.66,8.79,103.25,0.54
140,,,3.0,9.43,9.08,79.73,0.50
141,KOTA KUALA MUDA -2,BH 25,0.5,19.89,22.11,23.65,4.59
142,,,1.0,18.43,13.48,49.37,1.11
143,,,1.5,11.44,16.78,71.55,0.57
144,,,2.0,6.23,13.48,60.13,0.46
145,,,2.5,9.17,10.76,39.24,0.57
146,,,3.0,11.89,9.08,20.11,0.57
147,CYBERJAYA -1,,1.0,34.62,17.52,,206.44
148,,,2.5,28.90,27.51,,61.42
149,,,3.0,23.67,23.53,,273.39
150,CYBERJAYA -2,BH 27,0.5,25.66,5.48,,64.17
151,,,1.0,29.62,14.34,,249.24
152,,,3.0,32.64,9.08,,60.18
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,43.96,13.48,,1133.26
154,,,1.0,67.17,10.86,,3957.42
155,,,1.5,44.53,15.20,,4660.14
156,,,2.0,98.49,16.05,,4335.96
157,,,2.5,88.62,36.47,,777.09
158,,,3.0,15.48,13.58,,2927.41
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,45.98,26.37,,1910.48
160,,,1.0,65.10,17.73,,228.94
161,,,1.5,43.22,29.22,,6560.99
162,,,2.0,41.51,21.78,,3196.38
163,MELAKA - 1,BH 30,0.5,43.87,25.62,168.20,155.02
164,,,1.0,33.22,29.22,108.08,15.18
165,,,1.5,39.53,24.87,163.16,8.21
166,,,2.0,26.51,21.78,607.85,4.40
167,,,2.5,11.10,11.53,8.80,2.50
168,,,3.0,10.36,12.31,766.81,2.02
169,MELAKA - 2,BH 31,0.5,43.67,43.14,19.19,17.57
170,,,1.0,35.11,33.83,13.06,15.94
171,,,1.5,22.08,29.81,78.11,4.30
172,,,2.0,16.98,25.62,24.41,4.61
173,,,2.5,18.74,25.62,12.84,2.92
174,,,3.0,20.75,17.73,21.02,1.86
175,PERLIS - 1,BH 32,0.5,34.93,42.30,2.87,4.14
176,,,1.0,25.28,19.37,23.03,0.89
177,,,1.5,16.98,17.73,24.18,1.38
178,,,2.0,16.47,47.35,3.46,0.45
179,,,2.5,12.21,23.08,56.16,0.48
180,,,3.0,10.69,9.08,30.16,0.44
181,PERLIS - 2,BH 33,0.5,34.09,43.59,2.75,8.57
182,,,1.0,32.70,23.34,6.41,0.81
184,,,2.0,17.30,19.97,38.96,1.23
185,,,2.5,14.12,11.39,9.43,1.32
186,,,3.0,11.32,9.08,50.81,2.27
187,CAMERON - 1,BH 34,0.5,87.85,14.72,176.40,324.77
188,,,1.0,87.06,41.48,196.60,383.57
189,,,1.5,64.40,46.23,213.60,545.16
190,,,2.0,46.23,13.48,211.60,738.17
191,,,2.5,51.32,27.81,212.20,946.18
192,,,3.0,42.06,48.75,214.69,994.62
193,CAMERON - 2,BH 35,0.5,88.85,34.00,200.30,394.49
194,,,1.0,88.52,43.80,192.10,636.01
195,,,1.5,65.55,27.08,214.90,433.60
196,,,2.0,44.50,44.70,208.40,623.03
197,,,2.5,58.41,47.59,204.90,386.09
198,,,3.0,40.08,25.78,188.30,717.29
199,PULAU INDAH - 1,BH 36,0.5,66.47,8.23,,2493.18
200,,,1.0,65.38,1.51,,4452.10
201,,,1.5,66.30,3.14,,4361.24
202,,,2.0,62.02,6.42,,138.51
203,,,2.5,60.74,5.47,,4361.24
204,,,3.0,66.75,4.91,,12.33
205,PEKAN - 1,BH 37,1.0,39.01,13.10,0.94,24.24
206,,,1.5,20.27,8.76,3.11,23.87
207,,,2.0,26.86,7.78,97.40,31.90
208,,,2.5,26.97,11.25,71.48,32.95
209,,,3.0,26.03,10.22,38.65,39.59
210,PEKAN - 2,BH 38,1.0,17.63,8.12,4.40,36.65
211,,,1.5,14.65,9.87,30.16,17.48
212,,,2.0,19.70,10.01,6.91,20.37
213,,,2.5,18.14,10.56,86.41,28.09
214,,,3.0,17.62,8.58,103.69,35.07
215,DAMANSARA -1,BH 39,1.0,22.30,47.81,,1593.44
216,,,2.0,31.90,47.43,,707.13
217,,,3.0,50.93,48.96,,1134.28
218,DAMANSARA -2,BH 40,1.0,27.72,48.03,,14458.79
219,,,2.0,46.67,68.82,,7876.51
220,,,3.0,39.06,40.50,,3670.76
221,MARANG - 1,BH 41,1.0,3.00,75.90,,10087.35
222,,,2.0,3.16,74.53,,481.28
223,,,3.0,1.40,75.76,,1492.06
223,MUAR - 1,BH 42,1.0,17.60,16.30,,
224,,,2.0,17.50,18.50,,
